t_index	term	df
1	A	4229
2	AA	5
3	AB	8
4	AC	34
5	AD	24
6	AE	7
7	AF	3
8	AG	20
9	AI	2
10	AL	1
11	AM	106
12	AN	10
13	AO	1
14	AP	28
15	AQ	1
16	AR	19
17	AS	399
18	AT	3
19	AV	1
20	AX	6
21	Ad	40
22	Ag	1
23	Al	10
24	Am	7
25	An	194
26	Ar	43
27	As	410
28	At	7294
29	B	365
30	BA	141
31	BB	4
32	BC	22
33	BD	1
34	BE	12
35	BF	2
36	BG	1
37	BH	12
38	BI	49
39	BM	12
40	BO	4
41	BP	1
42	BS	709
43	BU	4
44	BV	1
45	BW	1
46	Be	2041
47	Bi	2
48	Bs	4
49	By	21
50	C	1932
51	CA	19
52	CB	46
53	CC	12
54	CD	23
55	CE	21
56	CF	3
57	CG	1
58	CI	8
59	CL	2
60	CM	19
61	CN	3
62	CO	85
63	CP	24
64	CS	258
65	CT	1
66	CU	2
67	CV	10
68	CW	6
69	CY	1
70	Co	167
71	Cs	2
72	Cu	1
73	D	257
74	DA	4
75	DB	114
76	DC	49
77	DE	1
78	DG	17
79	DH	1
80	DI	1
81	DL	1
82	DM	16
83	DO	3
84	DP	1
85	DR	31
86	DS	3
87	De	5
88	Do	161
89	Dr	2
90	E	449
91	EA	25
92	EB	1
93	EC	29
94	ED	19
95	EE	147
96	EF	33
97	EG	3
98	EJ	1
99	EL	1
100	EM	1
101	EN	3
102	EP	4
103	ER	4
104	ES	5
105	ET	1
106	EU	210
107	EV	17
108	EX	1
109	EY	11
110	EZ	1
111	Ec	1
112	Ed	1
113	Es	2
114	Ex	4
115	F	63
116	FA	20
117	FB	4
118	FC	4
119	FE	1
120	FF	12
121	FG	1
122	FI	6
123	FM	19
124	FN	1
125	FO	7
126	FP	23
127	FR	4
128	FS	5
129	FT	5
130	FW	1
131	FX	29
132	Fe	1
133	Fi	2
134	G	14
135	GA	3
136	GB	7
137	GC	32
138	GD	2
139	GE	1
140	GF	8
141	GH	1
142	GJ	2
143	GL	8
144	GM	24
145	GN	7
146	GP	12
147	GR	2
148	GS	7
149	GT	4
150	GU	1
151	GV	1
152	GW	2
153	Go	18
154	H	10
155	HA	4
156	HB	1
157	HC	2
158	HD	2
159	HE	2
160	HF	5
161	HH	1
162	HL	1
163	HM	1
164	HO	12
165	HP	34
166	HQ	79
167	HR	454
168	HS	2
169	HT	6
170	HW	32
171	He	960
172	Hg	1
173	Hi	15
174	Hp	1
175	I	108
176	IA	19
177	IB	5
178	IC	222
179	ID	32
180	IE	4
181	IF	2
182	IG	2
183	II	93
184	IL	4
185	IM	1
186	IN	23
187	IO	6
188	IP	384
189	IQ	10
190	IR	6
191	IS	27
192	IT	1385
193	IU	6
194	IV	36
195	IW	2
196	IX	2
197	If	123
198	In	1047
199	Is	7
200	It	141
201	J	8
202	JA	6
203	JD	2
204	JP	2
205	JS	50
206	JV	23
207	JW	2
208	Jr	2
209	K	28
